Level		Life	MP		Attack		Def		Exp Needed
1			48		34		1			1-1		30
2			64		34		2			2-2		60
3			80		51		3			3-3		150
4			96		68		4			4-4		300
5			112		85		5			5-5		700
6			128		102		6			6-6		1200
7			144		119		7			7-7		1600
8			160		136		8			8-8		3500
9			176		153		9			9-9		5800
10			192		170		10			10-10	8000	
11			208		187		11			11-11	10000	
12			224		204		12			12-12	20000	
13			240		221		13			13-13	30000	
14			255		238		14			14-14	40000	
15			255		255		15			15-15	50000	
16			255		255		16			16-16	0	
